RK,TIERS,PLAYER NAME,TEAM,POS,BYE WEEK
1,1,Zaire Franklin,IND,LB1,11
2,1,Roquan Smith,BAL,LB2,7
3,1,Zack Baun,PHI,LB3,9
4,2,Fred Warner,SF,LB4,14
5,2,Myles Garrett,CLE,DE1,9
6,2,Maxx Crosby,LV,DE2,8
7,2,Foyesade Oluokun,JAC,LB5,8
8,2,T.J. Edwards,CHI,LB6,5
9,2,Aidan Hutchinson,DET,DE3,8
10,3,Ernest Jones IV,SEA,LB7,8
11,3,Jamien Sherwood,NYJ,LB8,9
12,3,Terrel Bernard,BUF,LB9,7
13,3,Alex Singleton,DEN,LB10,12
14,3,Budda Baker,ARI,S1,8
15,3,Robert Spillane,NE,LB11,14
16,4,Nick Bosa,SF,DE4,14
17,4,Brian Branch,DET,S2,8
18,4,Blake Cashman,MIN,LB12,6
19,4,Logan Wilson,CIN,LB13,10
20,4,Kyle Hamilton,BAL,S3,7
21,4,T.J. Watt,PIT,LB14,5
22,4,Derwin James Jr.,LAC,S4,12
23,4,Bobby Wagner,WAS,LB15,12
24,4,Kaden Elliss,ATL,LB16,5
25,4,Jordyn Brooks,MIA,LB17,12
26,4,Daiyan Henley,LAC,LB18,12
27,5,Antoine Winfield Jr.,TB,S5,9
28,5,Edgerrin Cooper,GB,LB19,5
29,5,Lavonte David,TB,LB20,9
30,5,Micah Parsons,DAL,LB21,10
31,5,Jessie Bates III,ATL,S6,5
32,5,Azeez Al-Shaair,HOU,LB22,6
33,5,Will Anderson Jr.,HOU,DE5,6
34,5,Julian Love,SEA,S7,8
35,5,Quay Walker,GB,LB23,5
36,5,Jack Campbell,DET,LB24,8
37,6,Nick Bolton,KC,LB25,10
38,6,Jaquan Brisker,CHI,S8,5
39,6,Frankie Luvu,WAS,LB26,12
40,6,Travis Hunter,JAC,CB1,8
41,6,Bobby Okereke,NYG,LB27,14
42,6,Tyler Nubin,NYG,S9,14
43,6,Joshua Metellus,MIN,S10,6
44,6,Grant Delpit,CLE,S11,9
45,6,Jeremy Chinn,LV,S12,8
46,6,Quincy Williams,NYJ,LB28,9
47,6,Carson Schwesinger,CLE,LB29,9
48,6,Kevin Byard III,CHI,S13,5
49,6,DeShon Elliott,PIT,S14,5
50,6,Brandon Jones,DEN,S15,12
51,6,Xavier McKinney,GB,S16,5
52,7,Patrick Queen,PIT,LB30,5
53,7,Danielle Hunter,HOU,DE6,6
54,7,Trey Hendrickson,CIN,DE7,10
55,7,Brian Burns,NYG,DE8,14
56,7,Demario Davis,NO,LB31,11
57,7,Jared Verse,LAR,DE9,8
58,7,Jonathan Greenard,MIN,DE10,6
59,7,Tyrel Dodson,MIA,LB32,12
60,7,Reed Blankenship,PHI,S17,9
61,7,Nick Cross,IND,S18,11
62,7,Devon Witherspoon,SEA,CB2,8
63,7,Devin Lloyd,JAC,LB33,8
64,7,Josh Hines-Allen,JAC,DE11,8
65,7,Cody Barton,TEN,LB34,10
66,8,Kyle Dugger,NE,S19,14
67,8,Germaine Pratt,LV,LB35,8
68,8,Greg Rousseau,BUF,DE12,7
69,8,Alex Highsmith,PIT,LB36,5
70,8,Andrew Van Ginkel,MIN,LB37,6
71,8,Minkah Fitzpatrick,MIA,S20,12
72,8,Cam Bynum,IND,S21,11
