RK,OVERALL PLAYER,POS RK,BYE,FPS,VORP
1,Christian McCaffrey,RB1,14,311.128294,162.6150511
2,Ja'Marr Chase,WR1,10,260.9623799,159.8823774
3,CeeDee Lamb,WR2,10,248.0991785,147.0191759
4,Jahmyr Gibbs,RB2,8,283.1212283,140.2093986
5,Justin Jefferson,WR3,6,240.683102,139.6030994
6,Puka Nacua,WR4,8,235.4150966,134.3350941
7,Bijan Robinson,RB3,5,274.9915559,133.7056606
8,Amon-Ra St. Brown,WR5,8,233.7902396,132.7102371
9,Saquon Barkley,RB4,9,265.4097333,126.0402026
10,Derrick Henry,RB5,7,264.0537992,124.9554553
11,Bucky Irving,RB6,9,262.6742505,123.8518164
12,Brian Thomas,WR6,8,224.4935731,123.4135706
13,Drake London,WR7,5,224.2747556,123.1947531
14,Malik Nabers,WR8,14,221.9607421,120.8807396
15,Nico Collins,WR9,6,217.5521707,116.4721682
16,Jaxon Smith-Njigba,WR10,8,217.2853892,116.2053867
17,Tyreek Hill,WR11,12,216.0722623,114.9922598
18,Davante Adams,WR12,8,214.9929863,113.9129838
19,Josh Jacobs,RB7,5,250.0754761,113.7727968
20,De'Von Achane,RB8,12,249.3592015,113.1997771
21,Tee Higgins,WR13,10,214.0850568,113.0050543
22,Jameson Williams,WR14,8,209.3889967,108.3089942
23,Jonathan Taylor,RB9,11,239.6262942,105.4134513
24,Kyren Williams,RB10,8,238.9311553,104.8573402
25,Mike Evans,WR15,9,205.4663702,104.3863677
26,Terry McLaurin,WR16,12,205.1490451,104.0690425
27,Alvin Kamara,RB11,11,237.14694,103.429968
28,Ladd McConkey,WR17,12,202.1407628,101.0607603
29,Xavier Worthy,WR18,10,201.3746899,100.2946874
30,Chase Brown,RB12,10,232.3090005,99.55961635
31,Calvin Ridley,WR19,10,200.308678,99.22867551
32,Ashton Jeanty,RB13,8,227.1826659,95.45854866
33,DK Metcalf,WR20,5,196.4790154,95.39901284
34,Omarion Hampton,RB14,12,225.6436416,94.22732923
35,Ricky Pearsall,WR21,14,193.7912797,92.71127717
36,A.J. Brown,WR22,9,192.514718,91.43471545
37,George Pickens,WR23,10,192.0238977,90.9438952
38,Courtland Sutton,WR24,12,190.1193562,89.03935371
39,Emeka Egbuka,WR25,9,189.3315848,88.25158229
40,Tetairoa McMillan,WR26,14,188.1309868,87.05098423
41,James Conner,RB15,8,216.0258686,86.5331108
42,Lamar Jackson,QB1,7,382.5868811,85.28920429
43,Jaylen Waddle,WR27,12,185.5172216,84.43721903
44,Chuba Hubbard,RB16,14,210.9251689,82.45255108
45,Cooper Kupp,WR28,8,183.2191861,82.13918356
46,Garrett Wilson,WR29,9,182.7730373,81.69303473
47,Rome Odunze,WR30,5,182.759715,81.67971242
48,Jakobi Meyers,WR31,8,181.1688357,80.08883321
49,Brock Bowers,TE1,8,211.3834713,79.78733274
50,Jerry Jeudy,WR32,9,179.0404059,77.96040342
51,DeVonta Smith,WR33,9,179.0355216,77.95551903
52,DJ Moore,WR34,5,178.7553062,77.67530366
53,Kenneth Walker,RB17,8,203.2254099,76.29274386
54,TreVeyon Henderson,RB18,14,202.6275867,75.81448527
55,Marvin Harrison,WR35,8,176.2538302,75.17382762
56,Matthew Golden,WR36,5,171.409684,70.32968148
57,James Cook,RB19,7,195.1887925,69.86344989
