RK,Player,TM,BYE,PASS ATT,COMP,PASS YARDS,PASS TD,INT,RUSH ATT,RUSH YARDS,RUSH TD,FPS,AUC$
1,Lamar Jackson,BAL,7,474,313,3641,33,5,153,891,4,382.6,$24
2,Josh Allen,BUF,7,527,341,3882,27,6,110,567,10,370.5,$18
3,Jayden Daniels,WSH,12,519,346,3846,27,9,141,840,7,368.3,$16
4,Jalen Hurts,PHI,9,470,309,3578,24,6,148,652,12,361.8,$13
5,Joe Burrow,CIN,10,617,416,4616,37,9,38,132,2,339.0,$7
6,Justin Fields,NYJ,9,503,327,3565,26,9,110,721,6,333.9,$5
7,Baker Mayfield,TB,9,570,388,4352,35,15,53,311,3,332.3,$4
8,Patrick Mahomes,KC,10,573,387,4234,32,11,62,331,2,322.2,$1
9,Caleb Williams,CHI,5,576,369,4107,27,6,66,332,3,313.4,$0
10,Brock Purdy,SF,14,524,358,4508,30,13,48,213,2,307.6,$0
11,Bo Nix,DEN,12,565,371,3940,27,11,82,341,5,306.6,$0
12,Kyler Murray,ARI,8,546,362,3834,24,10,77,509,4,305.5,$0
13,Dak Prescott,DAL,10,607,403,4460,31,11,31,140,1,304.3,$0
14,Trevor Lawrence,JAX,8,588,384,4404,27,12,49,227,3,299.6,$0
15,C.J. Stroud,HOU,6,585,377,4338,29,11,41,176,2,295.9,$0
16,Drake Maye,NE,14,552,357,3901,23,13,82,509,3,292.6,$0
17,Jared Goff,DET,8,547,379,4303,32,13,34,73,1,289.2,$0
18,Geno Smith,LV,8,592,404,4263,26,12,50,199,2,283.8,$0
19,Justin Herbert,LAC,12,517,342,3977,25,8,57,242,3,283.1,$0
20,Sam Darnold,SEA,8,555,370,4160,27,17,54,243,3,282.4,$0
21,Tua Tagovailoa,MIA,12,571,387,4351,29,10,24,66,1,279.4,$0
22,Jordan Love,GB,5,533,345,4090,29,12,27,120,1,274.4,$0
23,Bryce Young,CAR,14,534,337,3734,24,14,55,318,4,272.9,$0
24,Michael Penix,ATL,5,538,354,4030,27,15,51,163,2,270.9,$0
25,J.J. McCarthy,MIN,6,525,335,3788,24,14,55,247,4,266.8,$0
26,Cam Ward,TEN,10,548,341,3824,24,16,70,292,3,261.9,$0
27,Aaron Rodgers,PIT,5,524,337,3749,26,7,13,59,0,248.4,$0
28,Matthew Stafford,LAR,8,491,315,3713,24,7,19,50,0,236.9,$0
29,Daniel Jones,IND,11,343,217,2392,15,14,70,306,4,182.1,$0
30,Russell Wilson,NYG,14,348,229,2356,12,7,50,243,2,167.1,$0
31,Spencer Rattler,NO,11,402,249,2736,14,12,13,79,0,150.9,$0
32,Joe Flacco,CLE,9,372,234,2658,15,12,5,14,0,144.6,$0
33,Anthony Richardson,IND,11,185,116,1427,8,7,40,224,3,113.6,$0
34,Tyler Shough,NO,11,172,108,1201,7,5,11,43,0,71.5,$0
35,Jaxson Dart,NYG,14,189,119,1277,7,5,5,24,0,70.9,$0
36,Dillon Gabriel,CLE,9,114,70,792,4,3,8,40,0,47.8,$0
37,Jimmy Garoppolo,LAR,8,87,56,648,4,1,0,0,0,39.1,$0
38,Shedeur Sanders,CLE,9,86,56,609,3,2,7,24,0,37.4,$0
39,Tyrod Taylor,NYJ,9,56,35,370,3,1,2,7,0,24.4,$0
40,Jameis Winston,NYG,14,44,27,299,2,1,6,25,0,19.5,$0
41,Jalen Milroe,SEA,8,29,18,200,1,1,4,19,0,14.9,$0
42,Mason Rudolph,PIT,5,34,21,239,1,1,2,6,0,13.9,$0
43,Jake Browning,CIN,10,32,21,226,1,1,0,0,0,13.7,$0
44,Gardner Minshew,KC,10,30,19,207,2,1,0,0,0,13.3,$0
45,Carson Wentz,MIN,6,28,18,196,1,1,4,15,0,12.3,$0
46,Kirk Cousins,ATL,5,28,18,204,1,1,0,0,0,11.9,$0
47,Andy Dalton,CAR,14,28,18,194,1,1,2,4,0,10.7,$0
48,Cooper Rush,BAL,7,25,16,144,1,1,3,9,0,10.5,$0
49,Zach Wilson,MIA,12,18,11,121,1,0,4,13,0,8.5,$0
50,Will Howard,PIT,5,11,7,79,0,0,4,21,0,7.6,$0
51,Joe Milton,DAL,10,12,8,82,1,0,2,9,0,5.8,$0
52,Tanner McKee,PHI,9,7,4,53,0,0,3,13,0,4.9,$0
53,Marcus Mariota,WSH,12,11,7,76,1,0,0,0,0,4.8,$0
54,Tyson Bagent,CHI,5,12,8,82,0,0,0,0,0,4.7,$0
55,Kyle Allen,DET,8,11,7,80,0,0,0,0,0,4.5,$0
56,Kyle Trask,TB,9,12,7,78,1,0,0,0,0,4.5,$0
57,Kenny Pickett,LV,8,12,8,88,0,0,0,0,0,4.5,$0
58,Trey Lance,LAC,12,11,7,72,0,0,0,0,0,4.4,$0
59,Jacoby Brissett,ARI,8,11,7,74,0,0,0,0,0,4.2,$0
60,Jarrett Stidham,DEN,12,12,7,71,0,0,0,0,0,4.1,$0
61,Joshua Dobbs,NE,14,11,7,76,0,0,0,0,0,3.9,$0
62,Mac Jones,SF,14,11,7,74,0,0,0,0,0,3.9,$0
63,Brandon Allen,TEN,10,11,7,74,0,0,0,0,0,3.8,$0
64,Davis Mills,HOU,6,6,4,40,0,0,0,0,0,2.5,$0
65,Malik Willis,GB,5,5,3,38,0,0,0,0,0,2.3,$0
66,Nick Mullens,JAX,8,6,4,43,0,0,0,0,0,2.3,$0
67,Mitch Trubisky,BUF,7,5,3,32,0,0,0,0,0,1.7,$0
68,,,,,,,,,,,,,
69,,,,,,,,,,,,,
70,,,,,,,,,,,,,
71,,,,,,,,,,,,,
72,,,,,,,,,,,,,
73,,,,,,,,,,,,,
74,,,,,,,,,,,,,
75,,,,,,,,,,,,,
76,,,,,,,,,,,,,
77,,,,,,,,,,,,,
78,,,,,,,,,,,,,
79,,,,,,,,,,,,,
