RK,QUARTERBACK,TM,BYE,FPS,VORP
1,Lamar Jackson,BAL,7,382.5868811,85.28920429
2,Josh Allen,BUF,7,370.4744498,63.09422936
3,Jayden Daniels,WSH,12,368.2782348,57.97133226
4,Jalen Hurts,PHI,9,361.8182431,48.06188438
5,Joe Burrow,CIN,10,338.9590524,24.7145574
6,Justin Fields,NYJ,9,333.8519458,19.11081328
7,Baker Mayfield,TB,9,332.2843477,13.00765642
8,Patrick Mahomes,KC,10,322.174038,2.639487851
9,Caleb Williams,CHI,5,313.3672234,-9.671173394
10,Brock Purdy,SF,14,307.6393925,-15.64925429
11,Bo Nix,DEN,12,306.6460715,-17.28489273
12,Kyler Murray,ARI,8,305.4935301,-20.17909238
13,Dak Prescott,DAL,10,304.2865787,-23.23152429
14,Trevor Lawrence,JAX,8,299.6398196,-28.4323321
15,C.J. Stroud,HOU,6,295.9147245,-35.61982544
16,Drake Maye,NE,14,292.5595525,-40.81124939
17,Jared Goff,DET,8,289.1725922,-46.97012292
18,Geno Smith,LV,8,283.7765679,-52.58136357
19,Justin Herbert,LAC,12,283.0843031,-55.9515943
20,Sam Darnold,SEA,8,282.3900665,-57.15962794
21,Tua Tagovailoa,MIA,12,279.4146816,-60.85475643
22,Jordan Love,GB,5,274.3832697,-68.90698649
23,Bryce Young,CAR,14,272.8638406,-71.07730931
24,Michael Penix,ATL,5,270.8815675,-75.00357002
25,J.J. McCarthy,MIN,6,266.8455151,-80.3853442
26,Cam Ward,TEN,10,261.9098307,-86.03301586
27,Aaron Rodgers,PIT,5,248.363903,-100.4000983
28,Matthew Stafford,LAR,8,236.889778,-112.0933603
29,Daniel Jones,IND,11,182.0601566,-168.0082055
30,Russell Wilson,NYG,14,167.12127,-184.6034572
31,Spencer Rattler,NO,11,150.9458751,-201.9933132
32,Joe Flacco,CLE,9,144.6053591,-210.8843422
33,Anthony Richardson,IND,11,113.6135435,-242.6878253
34,Tyler Shough,NO,11,71.49997045,-285.4795429
35,Jaxson Dart,NYG,14,70.90142402,-287.2647241
36,Dillon Gabriel,CLE,9,47.82046325,-311.2141555
37,Jimmy Garoppolo,LAR,8,39.12723721,-321.0034558
38,Shedeur Sanders,CLE,9,37.44980768,-323.2895578
39,Tyrod Taylor,NYJ,9,24.38785774,-336.7392338
40,Jameis Winston,NYG,14,19.51093545,-345.8943095
41,Jalen Milroe,SEA,8,14.92625087,-350.8190355
42,Mason Rudolph,PIT,5,13.89424469,-352.3112081
43,Jake Browning,CIN,10,13.65848153,-355.6009205
44,Gardner Minshew,KC,10,13.32725937,-357.1471905
45,Carson Wentz,MIN,6,12.29017913,-362.0704296
46,Kirk Cousins,ATL,5,11.91413335,-363.5784542
47,Andy Dalton,CAR,14,10.69882701,-365.3682048
48,Cooper Rush,BAL,7,10.52191653,-365.6691001
49,Zach Wilson,MIA,12,8.484341714,-367.7403612
50,Will Howard,PIT,5,7.57322541,-368.6919404
51,Joe Milton,DAL,10,5.762053173,-371.4360575
52,Tanner McKee,PHI,9,4.850041244,-372.7116451
53,Marcus Mariota,WSH,12,4.84947944,-373.6057272
54,Tyson Bagent,CHI,5,4.731160626,-373.7991773
55,Kyle Allen,DET,8,4.535933012,-374.2253748
56,Kyle Trask,TB,9,4.504048285,-376.0001675
57,Kenny Pickett,LV,8,4.484571035,-377.215472
58,Trey Lance,LAC,12,4.406452734,-377.8859541
59,Jacoby Brissett,ARI,8,4.20546527,-378.6747474
60,Jarrett Stidham,DEN,12,4.051664691,-378.8723603
61,Joshua Dobbs,NE,14,3.926718058,-379.1021364
62,Mac Jones,SF,14,3.919417325,-381.0413002
63,Brandon Allen,TEN,10,3.798744636,-382.2274412
64,Davis Mills,HOU,6,2.470372686,-385.0293874
65,Malik Willis,GB,5,2.34073953,-385.2014894
66,Nick Mullens,JAX,8,2.250016497,-385.2960401
67,Mitch Trubisky,BUF,7,1.653528793,-386.2798986
