RK,Player,TM,BYE,RUSH ATT,RUSH YARDS,RUSH TD,TGTS,REC,RECV YARDS,RECV TD,FPS,AUC$
1,Christian McCaffrey,SF,14,265,1301,12,75,59,516,4,311.1,$46
2,Jahmyr Gibbs,DET,8,238,1246,12,71,54,390,3,283.1,$39
3,Bijan Robinson,ATL,5,288,1315,12,53,42,343,3,275.0,$37
4,Saquon Barkley,PHI,9,311,1396,12,48,36,268,2,265.4,$35
5,Derrick Henry,BAL,7,307,1381,16,24,18,148,1,264.1,$35
6,Bucky Irving,TB,9,276,1375,9,55,44,354,2,262.7,$35
7,Josh Jacobs,GB,5,293,1256,12,46,35,275,1,250.1,$32
8,De'Von Achane,MIA,12,177,874,7,88,70,557,5,249.4,$32
9,Jonathan Taylor,IND,11,297,1367,10,37,27,210,1,239.6,$30
10,Kyren Williams,LAR,8,281,1197,13,40,28,206,2,238.9,$29
11,Alvin Kamara,NO,11,209,878,6,93,71,579,3,237.1,$29
12,Chase Brown,CIN,10,241,1020,9,64,50,370,2,232.3,$28
13,Ashton Jeanty,LV,8,276,1237,9,43,33,247,1,227.2,$27
14,Omarion Hampton,LAC,12,254,1147,10,43,32,255,2,225.6,$26
15,James Conner,ARI,8,230,1023,9,50,41,300,2,216.0,$24
16,Chuba Hubbard,CAR,14,237,1003,9,54,41,306,1,210.9,$23
17,Kenneth Walker,SEA,8,222,955,10,46,35,262,1,203.2,$21
18,TreVeyon Henderson,NE,14,185,803,6,66,51,434,3,202.6,$21
19,James Cook,BUF,7,209,941,8,40,30,258,2,195.2,$20
20,Isiah Pacheco,KC,10,250,1127,9,22,18,125,1,193.8,$19
21,D'Andre Swift,CHI,5,206,913,6,55,42,307,2,191.8,$19
22,Aaron Jones,MIN,6,200,895,5,56,40,307,2,183.4,$17
23,Breece Hall,NYJ,9,168,707,6,57,45,355,3,181.6,$17
24,RJ Harvey,DEN,12,187,823,6,44,35,264,2,176.2,$15
25,Tony Pollard,TEN,10,233,981,7,33,25,163,1,172.4,$14
26,Jaylen Warren,PIT,5,176,745,5,52,42,292,2,170.4,$14
27,Javonte Williams,DAL,10,185,770,7,44,35,243,1,168.2,$14
28,Tyrone Tracy,NYG,14,184,786,6,47,36,268,1,167.6,$13
29,David Montgomery,DET,8,187,813,10,20,15,108,1,164.5,$13
30,J.K. Dobbins,DEN,12,155,669,5,50,39,290,2,159.9,$12
31,Jacory Croskey-Merritt,WSH,12,188,849,7,24,18,150,1,156.6,$11
32,Travis Etienne,JAX,8,166,687,6,39,30,233,1,149.5,$9
33,Kaleb Johnson,PIT,5,206,889,7,18,13,89,1,147.2,$9
