RK,Player,BYE,FPS
1,Buffalo Bills,7,147.530029
2,Philadelphia Eagles,9,133.4904615
3,Denver Broncos,12,132.760878
4,Pittsburgh Steelers,5,132.6909312
5,Dallas Cowboys,10,131.2721805
6,Green Bay Packers,5,129.0647178
7,Minnesota Vikings,6,128.0253084
8,Houston Texans,6,127.8602052
9,Baltimore Ravens,7,126.925
10,Detroit Lions,8,118.152879
11,Seattle Seahawks,8,118.0060409
12,Los Angeles Chargers,12,117.6497213
13,Kansas City Chiefs,10,115.9314928
14,San Francisco 49ers,14,115.0355649
15,Tampa Bay Buccaneers,9,114.157774
16,New York Giants,14,113.0187761
17,Chicago Bears,5,111.4944737
18,Los Angeles Rams,8,110.0490282
19,New England Patriots,14,108.2257536
20,Indianapolis Colts,11,105.4112657
21,New Orleans Saints,11,105.0540757
22,New York Jets,9,104.0833022
23,Miami Dolphins,12,103.6615788
24,Cleveland Browns,9,101.003131
25,Cincinnati Bengals,10,99.36378916
26,Atlanta Falcons,5,99.31573416
27,Arizona Cardinals,8,98.71749441
28,Jacksonville Jaguars,8,97.49731592
29,Washington Commanders,12,92.46060606
30,Tennessee Titans,10,92.08315392
31,Las Vegas Raiders,8,91.18574015
32,Carolina Panthers,14,80.58437776
