RK,Player,TM,BYE,RUSH YARDS,RUSH TD,TGTS,REC,RECV YARDS,RECV TD,FPS,AUC$
1,Ja'Marr Chase,CIN,10,0,0,157.7723325,107.1274138,1328.379931,12.42678,260.9623799,44.80080597
2,CeeDee Lamb,DAL,10,52.29756582,0.199099359,157.1322016,109.2068801,1300.653942,9.500998572,248.0991785,41.19639502
3,Justin Jefferson,MIN,6,21.88370184,0.36171408,151.641672,98.26380346,1376.675886,8.25415949,240.683102,39.11832857
4,Puka Nacua,LAR,8,68.25367573,0.302528983,154.5465887,100.6098292,1342.135122,7.042688047,235.4150966,37.64217535
5,Amon-Ra St. Brown,DET,8,30.66070395,0.310917705,138.8874032,106.9433005,1227.709089,8.769350638,233.7902396,37.1868725
6,Brian Thomas,JAX,8,0,0,141.3346612,93.42221103,1295.766067,8.034310148,224.4935731,34.58184398
7,Drake London,ATL,5,0,0,150.2779118,98.58231017,1258.896101,8.182331744,224.2747556,34.52052891
8,Malik Nabers,NYG,14,0,0,163.2570857,104.1580207,1273.852593,7.082745408,221.9607421,33.87211679
9,Nico Collins,HOU,6,0,0,137.8826249,91.14041505,1222.192966,8.293777769,217.5521707,32.63678645
10,Jaxon Smith-Njigba,SEA,8,0,0,138.6399414,95.38427971,1140.795985,9.252275132,217.2853892,32.56203132
11,Tyreek Hill,MIA,12,37.70490447,0.422971685,131.5141027,86.53627959,1218.430817,7.442120045,216.0722623,32.22209978
12,Davante Adams,LAR,8,0,0,146.0550179,93.47521145,1177.787664,8.412769031,214.9929863,31.91967476
13,Tee Higgins,CIN,10,0,0,136.7784334,87.81175424,1174.921272,8.781175424,214.0850568,31.66526289
14,Jameson Williams,DET,8,103.6655179,0.917694749,112.6409648,72.3154994,1135.353341,7.30386544,209.3889967,30.34937503
15,Mike Evans,TB,9,0,0,121.4357474,80.51190055,1033.772803,10.30552327,205.4663702,29.25021182
16,Terry McLaurin,WSH,12,0,0,120.235,84.28473503,1134.472533,8.259904033,205.1490451,29.16129381
17,Ladd McConkey,LAC,12,0,0,123.5533922,88.46422882,1165.073893,6.900209848,202.1407628,28.31833995
18,Xavier Worthy,KC,10,40.17810566,0.535558377,121.1778575,85.18803382,1040.145893,7.922487145,201.3746899,28.10367786
19,Calvin Ridley,TEN,10,0,0,134.1573156,81.03101862,1199.259076,6.644543527,200.308678,27.80496957
20,DK Metcalf,PIT,5,0,0,129.982545,79.28935245,1149.695611,6.977463016,196.4790154,26.73185584
21,Ricky Pearsall,SF,14,13.32215489,0.224397999,120.0516836,80.43462804,1079.432708,7.158681895,193.7912797,25.97872266
22,A.J. Brown,PHI,9,0,0,118.0706812,74.50259984,1101.148426,7.524762584,192.514718,25.62101598
23,George Pickens,DAL,10,0,0,131.807778,79.48009012,1098.414845,7.073728021,192.0238977,25.48348273
24,Courtland Sutton,DEN,12,0,0,130.01072,81.38671072,1059.654974,7.243417254,190.1193562,24.9498092
25,Emeka Egbuka,TB,9,21.87675977,0.27447818,113.4540551,78.16984398,1018.553067,7.426135178,189.3315848,24.72906695
26,Tetairoa McMillan,CAR,14,0,0,134.427286,83.61377189,1056.878077,6.772715523,188.1309868,24.39264613
27,Jaylen Waddle,MIA,12,10.44481099,0.172641504,119.4009617,79.99864433,1083.981631,5.839901036,185.5172216,23.66024029
28,Cooper Kupp,SEA,8,0,0,123.7447411,84.39391344,979.8133351,7.173482643,183.2191861,23.0163054
29,Garrett Wilson,NYJ,9,0,0,134.2845116,82.18212107,1007.552804,6.821116049,182.7730373,22.89128957
30,Rome Odunze,CHI,5,0,0,122.6739931,79.73809553,1060.516671,6.139833356,182.759715,22.88755651
31,Jakobi Meyers,LV,8,0,0,134.8951968,87.14229713,1004.750686,6.187103096,181.1688357,22.44177461
32,Jerry Jeudy,CLE,9,0,0,132.34998,80.0717379,1068.156984,5.364806439,179.0404059,21.8453651
33,DeVonta Smith,PHI,9,36.01876038,0.5864458,110.8802641,72.29393218,941.2669969,6.940217489,179.0355216,21.84399644
34,DJ Moore,CHI,5,21.30441974,0.264104377,123.8258616,76.77203419,984.2174783,6.372078838,178.7553062,21.765477
35,Marvin Harrison,ARI,8,0,0,128.2963849,77.74760924,1014.606301,5.986565912,176.2538302,21.06453582
36,Matthew Golden,GB,5,53.97093397,0.400114008,107.1252112,67.27463263,920.3169744,6.323815468,171.409684,19.70715263
37,Travis Hunter,JAX,8,0,0,121.5594411,75.97465068,951.2026265,6.153946705,170.0312682,19.32090532
38,Zay Flowers,BAL,7,41.2645381,0.394624014,106.6815613,72.11673543,872.6030615,6.490506188,168.7559089,18.96353556
39,Chris Olave,NO,11,0,0,126.675045,78.91855304,957.2820483,4.971868841,165.0186944,17.91632683
40,Darnell Mooney,ATL,5,0,0,109.7971459,67.41544759,915.5017783,5.797728493,160.0442726,16.52243897
41,Jayden Higgins,HOU,6,0,0,101.9636218,65.66457241,911.4242651,5.909811517,159.4335818,16.35131668
42,Deebo Samuel,WSH,12,88.26190324,1.340202435,102.0175758,65.39326608,761.8315499,5.035281488,155.9588819,15.37766742
43,Marvin Mims,DEN,12,0,0,111.357008,68.03913189,855.2518878,5.987443606,155.4694164,15.24051378
44,Chris Godwin,TB,9,0,0,93.49982432,67.50687316,757.4271168,6.885701062,150.8103546,13.93499329
45,Joshua Palmer,BUF,7,0,0,103.8407392,64.69278055,829.3614466,5.434193566,147.8876963,13.11603219
