RK,WIDE RECEIVER,TM,BYE,FPS,VORP
1,Ja'Marr Chase,CIN,10,260.9623799,159.8823774
2,CeeDee Lamb,DAL,10,248.0991785,147.0191759
3,Justin Jefferson,MIN,6,240.683102,139.6030994
4,Puka Nacua,LAR,8,235.4150966,134.3350941
5,Amon-Ra St. Brown,DET,8,233.7902396,132.7102371
6,Brian Thomas,JAX,8,224.4935731,123.4135706
7,Drake London,ATL,5,224.2747556,123.1947531
8,Malik Nabers,NYG,14,221.9607421,120.8807396
9,Nico Collins,HOU,6,217.5521707,116.4721682
10,Jaxon Smith-Njigba,SEA,8,217.2853892,116.2053867
11,Tyreek Hill,MIA,12,216.0722623,114.9922598
12,Davante Adams,LAR,8,214.9929863,113.9129838
13,Tee Higgins,CIN,10,214.0850568,113.0050543
14,Jameson Williams,DET,8,209.3889967,108.3089942
15,Mike Evans,TB,9,205.4663702,104.3863677
16,Terry McLaurin,WSH,12,205.1490451,104.0690425
17,Ladd McConkey,LAC,12,202.1407628,101.0607603
18,Xavier Worthy,KC,10,201.3746899,100.2946874
19,Calvin Ridley,TEN,10,200.308678,99.22867551
20,DK Metcalf,PIT,5,196.4790154,95.39901284
21,Ricky Pearsall,SF,14,193.7912797,92.71127717
22,A.J. Brown,PHI,9,192.514718,91.43471545
23,George Pickens,DAL,10,192.0238977,90.9438952
24,Courtland Sutton,DEN,12,190.1193562,89.03935371
25,Emeka Egbuka,TB,9,189.3315848,88.25158229
26,Tetairoa McMillan,CAR,14,188.1309868,87.05098423
27,Jaylen Waddle,MIA,12,185.5172216,84.43721903
28,Cooper Kupp,SEA,8,183.2191861,82.13918356
29,Garrett Wilson,NYJ,9,182.7730373,81.69303473
30,Rome Odunze,CHI,5,182.759715,81.67971242
31,Jakobi Meyers,LV,8,181.1688357,80.08883321
32,Jerry Jeudy,CLE,9,179.0404059,77.96040342
33,DeVonta Smith,PHI,9,179.0355216,77.95551903
34,DJ Moore,CHI,5,178.7553062,77.67530366
35,Marvin Harrison,ARI,8,176.2538302,75.17382762
36,Matthew Golden,GB,5,171.409684,70.32968148
37,Travis Hunter,JAX,8,170.0312682,68.95126568
38,Zay Flowers,BAL,7,168.7559089,67.67590635
39,Chris Olave,NO,11,165.0186944,63.93869187
40,Darnell Mooney,ATL,5,160.0442726,58.96427006
41,Jayden Higgins,HOU,6,159.4335818,58.35357929
42,Deebo Samuel,WSH,12,155.9588819,54.87887936
43,Marvin Mims,DEN,12,155.4694164,54.38941383
44,Chris Godwin,TB,9,150.8103546,49.73035211
45,Joshua Palmer,BUF,7,147.8876963,46.8076938
46,Khalil Shakir,BUF,7,146.8503054,45.7703029
47,Josh Downs,IND,11,145.947372,44.86736949
48,Cedric Tillman,CLE,9,145.5992897,44.51928721
49,Rashid Shaheed,NO,11,145.1276198,44.04761724
50,Keon Coleman,BUF,7,144.4391767,43.35917416
