RK,WR and TE COMBINED,POS RK,BYE,FPS,VORP
1,Ja'Marr Chase,WR1,10,260.9623799,118.2130986
2,CeeDee Lamb,WR2,10,248.0991785,105.3498971
3,Justin Jefferson,WR3,6,240.683102,97.93382065
4,Puka Nacua,WR4,8,235.4150966,92.66581526
5,Amon-Ra St. Brown,WR5,8,233.7902396,91.04095829
6,Brian Thomas,WR6,8,224.4935731,81.74429177
7,Drake London,WR7,5,224.2747556,81.5254743
8,Malik Nabers,WR8,14,221.9607421,79.21146079
9,Nico Collins,WR9,6,217.5521707,74.80288938
10,Jaxon Smith-Njigba,WR10,8,217.2853892,74.53610785
11,Tyreek Hill,WR11,12,216.0722623,73.32298095
12,Davante Adams,WR12,8,214.9929863,72.24370501
13,Tee Higgins,WR13,10,214.0850568,71.33577551
14,Brock Bowers,TE1,8,211.3834713,68.63418996
15,Jameson Williams,WR14,8,209.3889967,66.63971535
16,Mike Evans,WR15,9,205.4663702,62.71708888
17,Terry McLaurin,WR16,12,205.1490451,62.39976373
18,Ladd McConkey,WR17,12,202.1407628,59.39148151
19,Xavier Worthy,WR18,10,201.3746899,58.62540858
20,Calvin Ridley,WR19,10,200.308678,57.5593967
21,George Kittle,TE2,14,199.353678,56.60439671
22,DK Metcalf,WR20,5,196.4790154,53.72973404
23,Ricky Pearsall,WR21,14,193.7912797,51.04199837
24,Trey McBride,TE3,8,193.6982137,50.94893239
25,A.J. Brown,WR22,9,192.514718,49.76543665
26,George Pickens,WR23,10,192.0238977,49.2746164
27,Courtland Sutton,WR24,12,190.1193562,47.37007491
28,Emeka Egbuka,WR25,9,189.3315848,46.58230349
29,Tetairoa McMillan,WR26,14,188.1309868,45.38170543
30,Jaylen Waddle,WR27,12,185.5172216,42.76794023
31,Cooper Kupp,WR28,8,183.2191861,40.46990476
32,Garrett Wilson,WR29,9,182.7730373,40.02375593
33,Rome Odunze,WR30,5,182.759715,40.01043362
34,Jakobi Meyers,WR31,8,181.1688357,38.41955441
35,Travis Kelce,TE4,10,180.6632674,37.91398605
36,Jerry Jeudy,WR32,9,179.0404059,36.29112461
37,DeVonta Smith,WR33,9,179.0355216,36.28624023
38,DJ Moore,WR34,5,178.7553062,36.00602486
39,Marvin Harrison,WR35,8,176.2538302,33.50454882
40,Matthew Golden,WR36,5,171.409684,28.66040268
41,Travis Hunter,WR37,8,170.0312682,27.28198688
42,Zay Flowers,WR38,7,168.7559089,26.00662755
43,Chris Olave,WR39,11,165.0186944,22.26941307
44,Darnell Mooney,WR40,5,160.0442726,17.29499126
45,Jayden Higgins,WR41,6,159.4335818,16.68430049
46,Deebo Samuel,WR42,12,155.9588819,13.20960056
47,Marvin Mims,WR43,12,155.4694164,12.72013503
48,David Njoku,TE5,9,150.8158575,8.066576146
49,Chris Godwin,WR44,9,150.8103546,8.061073307
50,Mark Andrews,TE6,7,149.2670091,6.517727786
51,Joshua Palmer,WR45,7,147.8876963,5.138414999
52,Khalil Shakir,WR46,7,146.8503054,4.101024098
53,Josh Downs,WR47,11,145.947372,3.198090689
54,Cedric Tillman,WR48,9,145.5992897,2.850008414
55,Rashid Shaheed,WR49,11,145.1276198,2.378338441
56,Sam LaPorta,TE7,8,144.7188352,1.969553892
57,Keon Coleman,WR50,7,144.4391767,1.689895358
58,Jayden Reed,WR51,5,143.7300583,0.980776985
59,Jauan Jennings,WR52,14,143.0116426,0.262361249
60,Jake Ferguson,TE8,10,142.7492813,0
61,Rashee Rice,WR53,10,142.6958027,-0.053478639
62,Andrei Iosivas,WR54,10,138.8797859,-3.86949541
63,Jordan Addison,WR55,6,138.604458,-4.14482336
64,Romeo Doubs,WR56,5,137.2152244,-5.534056895
65,Kyle Pitts,TE9,5,136.3233378,-6.42594348
66,Tucker Kraft,TE10,5,135.4369375,-7.312343845
67,Stefon Diggs,WR57,14,134.8661228,-7.883158486
68,Michael Pittman,WR58,11,133.8747607,-8.87452063
69,Hunter Henry,TE11,14,133.6929205,-9.05636084
70,Christian Kirk,WR59,6,132.6997444,-10.04953698
71,Evan Engram,TE12,12,131.5961386,-11.15314278
72,Xavier Legette,WR60,14,131.331679,-11.4176023
73,T.J. Hockenson,TE13,6,130.0335829,-12.7156984
74,Jalen Coker,WR61,14,126.11581,-16.63347135
75,Josh Reynolds,WR62,9,125.9160323,-16.83324899
76,Keenan Allen,WR63,12,124.9209473,-17.82833401
77,DeMario Douglas,WR64,14,124.0463631,-18.70291819
78,Tyler Lockett,WR65,10,123.7009258,-19.04835556
79,Roman Wilson,WR66,5,123.5925272,-19.15675411
80,Mason Taylor,TE14,9,123.5182524,-19.23102894
81,Wan'Dale Robinson,WR67,14,119.9454218,-22.80385954
82,Dalton Kincaid,TE15,7,119.9335627,-22.81571864
83,Amari Cooper,WR68,8,119.2982876,-23.45099377
84,Brenton Strange,TE16,8,118.1112476,-24.63803374
85,Tyler Warren,TE17,11,116.3032384,-26.44604291
86,Darren Waller,TE18,12,113.9314978,-28.81778353
87,Tory Horton,WR69,8,111.9752963,-30.77398503
88,Isaiah Likely,TE19,7,108.5505889,-34.19869239
89,Ja'Tavion Sanders,TE20,14,107.5533973,-35.19588407
90,Rashod Bateman,WR70,7,107.4666911,-35.28259025
91,Alec Pierce,WR71,11,103.202365,-39.54691635
92,Dallas Goedert,TE21,9,103.0868814,-39.66239991
93,Dyami Brown,WR72,8,101.2876071,-41.46167427
94,Zay Jones,WR73,8,101.0800025,-41.6692788
95,Tre' Harris,WR74,12,100.8458709,-41.90341038
96,Luther Burden,WR75,5,100.6419081,-42.10737323
97,Theo Johnson,TE22,14,99.38049265,-43.36878868
98,Brandon Aiyuk,WR76,14,98.38375342,-44.36552791
99,Zach Ertz,TE23,12,98.38311585,-44.36616548
100,Jonnu Smith,TE24,5,98.25890465,-44.49037668
101,Darius Slayton,WR77,14,98.1386671,-44.61061423
102,DeAndre Hopkins,WR78,7,97.48350839,-45.26577294
103,Juwan Johnson,TE25,11,94.07345998,-48.67582135
104,Quentin Johnston,WR79,12,93.49524437,-49.25403696
105,Dalton Schultz,TE26,6,92.87274917,-49.87653216
106,Elic Ayomanor,WR80,10,89.78458634,-52.96469499
107,Arian Smith,WR81,9,89.5178921,-53.23138923
108,Chig Okonkwo,TE27,10,88.85897204,-53.89030929
109,Colston Loveland,TE28,5,88.80178677,-53.94749456
110,Cade Otton,TE29,9,88.46462503,-54.2846563
111,Isaac TeSlaa,WR82,8,84.47449007,-58.27479126
112,Tutu Atwell,WR83,8,78.59863986,-64.15064147
113,Adonai Mitchell,WR84,11,75.52195581,-67.22732552
114,Pat Freiermuth,TE30,5,74.86585342,-67.88342791
115,Michael Wilson,WR85,8,74.5707489,-68.17853243
116,Mike Gesicki,TE31,10,72.59859281,-70.15068852
117,Calvin Austin,WR86,5,72.36993863,-70.3793427
118,Terrance Ferguson,TE32,8,72.20805991,-70.54122142
119,Adam Thielen,WR87,6,71.94800301,-70.80127832
120,Dont'e Thornton,WR88,8,69.90180115,-72.84748018
121,Nick Westbrook-Ikhine,WR89,12,67.88171476,-74.86756657
122,Troy Franklin,WR90,12,67.49412921,-75.25515212
123,Marquise Brown,WR91,10,67.31134428,-75.43793705
124,Ray-Ray McCloud,WR92,5,65.29553239,-77.45374894
125,Dontayvion Wicks,WR93,5,65.09142083,-77.6578605
126,KaVontae Turpin,WR94,10,63.35898329,-79.39029804
127,AJ Barner,TE33,8,62.69304568,-80.05623565
128,Kyle Williams,WR95,14,61.08109145,-81.66818988
129,Michael Mayer,TE34,8,60.47128221,-82.27799912
130,Tyquan Thornton,WR96,10,58.810357,-83.93892433
131,Olamide Zaccheaus,WR97,5,57.42912148,-85.32015985
132,Ben Sinnott,TE35,12,56.97083035,-85.77845098
133,Mack Hollins,WR98,14,54.81268014,-87.93660119
134,Noah Gray,TE36,10,54.279511,-88.46977033
135,Jermaine Burton,WR99,10,54.22457701,-88.52470432
136,Elijah Arroyo,TE37,8,54.0957973,-88.65348403
137,Cole Kmet,TE38,5,53.81046557,-88.93881576
138,Allen Lazard,WR100,9,52.47623856,-90.27304277
139,Jalen Tolbert,WR101,10,52.37772379,-90.37155754
140,Greg Dortch,WR102,8,51.97400545,-90.77527588
141,Devaughn Vele,WR103,11,51.62577727,-91.12350406
142,Tyler Higbee,TE39,8,51.5091892,-91.24009213
143,Jahan Dotson,WR104,9,50.63919993,-92.1100814
144,Isaiah Bond,WR105,9,50.43365183,-92.3156295
145,Tre Tucker,WR106,8,49.89791079,-92.85137054
146,Jamari Thrash,WR107,9,49.72604546,-93.02323587
147,Pat Bryant,WR108,12,48.96959473,-93.7796866
148,Kayshon Boutte,WR109,14,48.8043676,-93.94491373
149,Brandin Cooks,WR110,11,48.4955671,-94.25371423
150,Malik Washington,WR111,12,47.77447052,-94.97481081
151,Van Jefferson,WR112,10,46.22677789,-96.52250344
